"Contract_ID","Plan_ID","Segment_ID","Year","Contract_Plan_Segment","1","2","3","4","5","6","7","State_Enrollment","State_Eligibles","Star_Rating_3","Star_Rating_3.5","Star_Rating_4","Star_Rating_4.5"
"H0342",1,0,2021,"H0342-1-0",11.6530076547456,1.6863173366881e-09,6.62313326230308,9.89712149995893,9.47690644632556e-09,1.99938460341116e-09,7.60105188765579,138,703271,0,0,0,0
"H0342",1,0,2022,"H0342-1-0",11.1437467954682,1.68743989359141e-09,4.29744584501604,13.4499946965541,9.57686512694898e-09,1.98600032812876e-09,5.7706119819757,307,716961,0,0,0,0
"H0712",19,0,2019,"H0712-19-0",1.53154931639318,0.0027735937592548,15.877260424254,8.25793178219161,7.1062171803027,6.02320830458342,2.70207686704926e-09,2717,678880,0,1,0,0
"H0712",19,0,2020,"H0712-19-0",1.44238915705575,1.71143265945468,15.903442058352,8.33306147133975,0.274651723990217,5.85282492475017,2.68769143115505e-09,1987,689828,0,1,0,0
"H0712",19,0,2021,"H0712-19-0",1.66413035185003,1.45730431830031,15.1392972618835,8.35603108091873,0.275384122171911,5.99453631239635,2.74937324234396e-09,1620,703271,1,0,0,0
"H0712",19,0,2022,"H0712-19-0",6.64070257457039,1.70823040585098e-09,16.3252743136311,6.91240830218138,0.077300658616988,4.8806356557791,2.52521383494162e-09,1405,716961,0,1,0,0
"H0712",20,0,2019,"H0712-20-0",2.25172988827409e-09,2.20215824026031e-09,9.01467451835488,2.54056011386993e-09,6.78492574342625,3.04210251344751e-09,22.8558685041646,2391,678880,0,1,0,0
"H0712",20,0,2020,"H0712-20-0",2.24649044089462e-09,2.25388205608634e-09,10.6992216713508,2.56335296791283e-09,7.79933968962643e-05,3.05586575201414e-09,22.3750135908109,1801,689828,0,1,0,0
"H0712",20,0,2021,"H0712-20-0",0.847074382923446,5.63861738804738,16.9750233832733,3.22565163234848,0.143876138398907,3.86274652534725,2.81121850802897e-09,1388,703271,1,0,0,0
"H0712",20,0,2022,"H0712-20-0",6.09327166799828,1.06178023808671,18.8768276725882,2.95799165807066,0.0222463729433999,3.04588020710243,2.65825500258221e-09,1370,716961,0,1,0,0
"H0712",21,0,2019,"H0712-21-0",0.072176314994018,0.809568184467026,13.8183972148768,8.34696509194468,6.93024394798582,6.74869387116111,2.90981399557988e-09,74,678880,0,1,0,0
"H0755",30,0,2019,"H0755-30-0",16.851703293887,6.60350582368567,0.142254548916127,1.76180860399454,7.2037533624339,3.02372913668611,2.81598040484249e-09,7601,678880,1,0,0,0
"H0755",30,0,2020,"H0755-30-0",12.9845135130066,12.5013672747336,3.77877845299179e-07,0.119415450990909,9.39800445922199e-09,4.48350903438682,0.000208760443372401,6418,689828,0,0,1,0
"H0755",30,0,2021,"H0755-30-0",13.0254758220676,12.5330220348118,3.8044261789176e-07,0.129379229154214,9.37559017980855e-09,4.46973311204479,0.000315724322404884,5664,703271,0,0,1,0
"H0755",30,0,2022,"H0755-30-0",13.221804715643,11.1213400424588,0.000229366331309988,1.0204414834716,9.50838862241016e-09,4.82158728437728,0.0999994022385027,4876,716961,0,0,1,0
"H0755",31,0,2019,"H0755-31-0",13.6141455490316,8.09717984055646,0.0185947041141843,4.52043344401244,7.07744136801662,4.83914255097399,0.112743951315094,23233,678880,1,0,0,0
"H0755",31,0,2020,"H0755-31-0",9.32036339363617,13.4499632425072,2.05360255953402e-09,2.66989318637713,8.57669027975282e-09,6.56899162841995,0.873103625111628,21552,689828,0,0,1,0
"H0755",31,0,2021,"H0755-31-0",9.29906295267453,13.4052004652888,2.05880852820383e-09,2.65715755287357,8.59942744205781e-09,6.5869807065757,0.851886767872676,20320,703271,0,0,1,0
"H0755",31,0,2022,"H0755-31-0",9.18481202078705,13.7991662906586,2.03666907469999e-09,2.61536475948156,8.47999760544384e-09,6.5636399167267,1.0129959469534,17924,716961,0,0,1,0
"H0755",32,0,2019,"H0755-32-0",0.00290306945314847,2.39974163356775,2.53381021859286e-09,2.05525051475931e-09,7.21257404583565,25.3347259148402,0.876772722094139,403,678880,1,0,0,0
"H0755",32,0,2020,"H0755-32-0",0.451603663802402,1.95756577531288,2.84916946511836e-09,3.4530082103812e-06,0.0791306734943946,26.2610209866384,1.18402139437359,435,689828,0,0,1,0
"H0755",32,0,2021,"H0755-32-0",2.41751021327269,0.000417498735980855,0.0132300987441372,0.000474037930443693,1.19523506536445e-08,26.0535888941274,1.1638606376575,711,703271,0,0,1,0
"H0755",32,0,2022,"H0755-32-0",2.05345199814378,7.69737926913e-06,0.08775900961502,0.0156219043796892,1.19194993597276e-08,26.2396079582529,1.3560824653229,857,716961,0,0,1,0
"H0755",33,0,2019,"H0755-33-0",6.26016512424765,21.1797383513856,2.00954495166427e-09,0.267128222089181,6.70671894360883,3.96341119147929,0.0598422660605703,20763,678880,1,0,0,0
"H0755",33,0,2020,"H0755-33-0",6.30341231147004,21.5714566560174,2.05081036189312e-09,0.00108718799786055,7.88093809505237e-09,4.48824986051141,0.00483759325588408,21619,689828,0,0,1,0
"H0755",33,0,2021,"H0755-33-0",6.37824369916609,21.6538229303453,2.04337039736952e-09,0.00171357395006129,7.85387056611435e-09,4.43247145024681,0.00815832970151358,22610,703271,0,0,1,0
"H0755",33,0,2022,"H0755-33-0",6.13199261598272,22.3388126051213,2.02067904717012e-09,0.000220225593388214,7.72698453080913e-09,4.30992024262583,0.0517689647552848,21038,716961,0,0,1,0
