Contract_Plan_Segment,Year,Contract_ID,Plan_ID,Segment_ID,Premium,Annual_Deductible,Drug_Coverage,In_MOOP,Out_MOOP,In_HP_Deductible,Out_HP_Deductible,In_Inpatient,In_Inpatient_inf,Out_Inpatient,Out_Inpatient_inf,Out_Inpatient_Coin,In_Primary_Min,In_Primary_Max,Out_Primary_Min,Out_Primary_Max,Out_Primary_Coin,In_Specialist_Min,In_Specialist_Max,Out_Specialist_Min,Out_Specialist_Max,Out_Specialist_Coin,Emergency_Care,Urgent_Care_Min,Urgent_Care_Max,In_Ambulance,Out_Ambulance_Min,Out_Ambulance_Max,Out_Ambulance_Coin,In_Vision_Exam,Out_Vision_Exam,Out_Vision_Exam_Coin,In_Hearing_Exam,Out_Hearing_Exam_Min,Out_Hearing_Exam_Max,Out_Hearing_Exam_Coin,Tier1,Tier2,Tier3,Tier4,Tier4_Coin,Tier5_Coin,OTC_Yearly,X14c1_Health_Education,X14c10_In.Home_Safety_Assessment,X14c11_Personal_Emergency_Response_System,X14c12_Medical_Nutrition_Therapy,X14c15_Wigs_for_Hair_Loss,X14c16_Weight_Management_Programs,X14c2_Nutritional.Dietary_Benefit,X14c3_Smoking_Tobacco_Counseling,X14c4_Fitness_Benefit,X14c7_Remote_Access_Technologies,X14c8_Bathroom_Safety_Devices,X14c9_Counseling_Services,Star_Rating_NA,Annual_Deductible_NA,Out_MOOP_NA,Out_HP_Deductible_NA,In_Inpatient_numdays_NA,Out_Inpatient_NA,Out_Inpatient_numdays_NA,Out_Inpatient_Coin_NA,Out_Primary_Min_NA,Out_Primary_Max_NA,Out_Primary_Coin_NA,Out_Specialist_Min_NA,Out_Specialist_Max_NA,Out_Specialist_Coin_NA,Out_Ambulance_Min_NA,Out_Ambulance_Max_NA,Out_Ambulance_Coin_NA,In_Vision_Exam_NA,Out_Vision_Exam_NA,Out_Vision_Exam_Coin_NA,Out_Hearing_Exam_Min_NA,Out_Hearing_Exam_Max_NA,Out_Hearing_Exam_Coin_NA,Tier1_NA,Tier2_NA,Tier3_NA,Tier4_NA,Tier4_Coin_NA,Tier5_Coin_NA,OTC_Yearly_NA,Star_Rating_3,Star_Rating_3.5,Star_Rating_4,Star_Rating_4.5,In_Inpatient_numdays_3,In_Inpatient_numdays_4,In_Inpatient_numdays_5,In_Inpatient_numdays_6,In_Inpatient_numdays_90,Out_Inpatient_numdays_1,Out_Inpatient_numdays_3,Out_Inpatient_numdays_4,Out_Inpatient_numdays_5,Out_Inpatient_numdays_6,Out_Inpatient_numdays_90,X..of.preventive.Dental.Coverage_0,X..of.preventive.Dental.Coverage_2,X..of.preventive.Dental.Coverage_3,X..of.preventive.Dental.Coverage_4,X..of.comprehensive.Dental.Coverage_0,X..of.comprehensive.Dental.Coverage_2,X..of.comprehensive.Dental.Coverage_5,X..of.comprehensive.Dental.Coverage_6,X..of.comprehensive.Dental.Coverage_7
H0712-21-0,2019,H0712,21,0,0.165289256,0,1,0.795180723,0,0,0,0.366972477,0,0.566037736,0,0,0,0,0,0,0,0.7,0.625,0.14,0.14,0,0,0.384615385,0.272727273,0.361445783,0.361445783,0.361445783,0,0,0,0,0.7,0.538461538,0.14,0,0,0.85,1,0,0.96,1,0.657142857,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
H0755-30-0,2019,H0755,30,0,0.396694215,0.208333333,1,0.192771084,0,0,0,0.174311927,1,0.433962264,1,0,0.2,0.2,0.1,0.1,0,0.6,0.5,0.12,0.12,0,0,0.384615385,0.454545455,0.542168675,0.542168675,0.542168675,0,0.4,0.307692308,0,0.1,0.076923077,0.02,0,0.25,0.6,0.957446809,0.95,0,0.939393939,0.571428571,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
H0755-30-0,2020,H0755,30,0,0.409090909,0.208333333,1,0.313253012,0,0,0,0.174311927,1,0.433962264,1,0,0.2,0.2,0.1,0.1,0,0.6,0.5,0.12,0.12,0,0,0.384615385,0.454545455,0.578313253,0.578313253,0.578313253,0,0,0,0,0,0,0,0,0.25,0.6,1,1,0,0.939393939,0.571428571,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
H0755-30-0,2021,H0755,30,0,0.388429752,0.208333333,1,0.313253012,0,0,0,0.174311927,1,0.433962264,1,0,0.2,0.2,0.1,0.1,0,0.6,0.5,0.12,0.12,0,0,0.384615385,0.454545455,0.602409639,0.602409639,0.602409639,0,0,0,0,0,0,0,0,0.25,0.6,1,1,0,0.939393939,0.571428571,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
H0755-30-0,2022,H0755,30,0,0.376033058,0,1,0.313253012,0,0,0,0.174311927,1,0.433962264,1,0,0,0,0,0,0,0.6,0.5,0.12,0.12,0,0,0.615384615,0.545454545,0.65060241,0.65060241,0.65060241,0,0,0,0,0,0,0,0,0,0.6,1,1,0,1,0.571428571,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
H0755-31-0,2019,H0755,31,0,0.107438017,0.3125,1,0.626506024,0,0,0,0.266055046,1,0.496855346,1,0,0.4,0.4,0.2,0.2,0,0.8,0.75,0.16,0.16,0,0,0.384615385,0.454545455,0.602409639,0.602409639,0.602409639,0,0.4,0.307692308,0,0.2,0.153846154,0.04,0,0.25,0.6,0.957446809,0.95,0,0.939393939,0.476190476,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
H0755-31-0,2020,H0755,31,0,0.119834711,0.3125,1,0.626506024,0,0,0,0.266055046,1,0.496855346,1,0,0.4,0.4,0.2,0.2,0,0.8,0.75,0.16,0.16,0,0,0.384615385,0.454545455,0.626506024,0.626506024,0.626506024,0,0,0,0,0,0,0,0,0.25,0.6,1,1,0,0.909090909,0.476190476,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
H0755-31-0,2021,H0755,31,0,0.119834711,0.3125,1,0.626506024,0,0,0,0.266055046,1,0.496855346,1,0,0.4,0.4,0.2,0.2,0,0.8,0.75,0.16,0.16,0,0,0.384615385,0.454545455,0.602409639,0.602409639,0.602409639,0,0,0,0,0,0,0,0,0.25,0.6,1,1,0,0.909090909,0.476190476,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
H0755-31-0,2022,H0755,31,0,0.119834711,0.3125,1,0.626506024,0,0,0,0.266055046,1,0.496855346,1,0,0.4,0.4,0.2,0.2,0,0.8,0.75,0.16,0.16,0,0,0.615384615,0.545454545,0.65060241,0.65060241,0.65060241,0,0,0,0,0,0,0,0,0,0.6,1,1,0,0.909090909,0.476190476,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
H0755-32-0,2019,H0755,32,0,0,0,0,0.626506024,0,0,0,0.266055046,1,0.496855346,1,0,0.2,0.2,0.1,0.1,0,0.7,0.625,0.14,0.14,0,0,0.384615385,0.454545455,0.602409639,0.602409639,0.602409639,0,0.4,0.307692308,0,0.1,0.076923077,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
