"Contract_Plan_Segment","Year","Contract_ID","Plan_ID","Segment_ID","Star_Rating","Premium","Annual_Deductible","Drug_Coverage","In_MOOP","Out_MOOP","In_HP_Deductible","Out_HP_Deductible","In_Inpatient","In_Inpatient_numdays","In_Inpatient_inf","Out_Inpatient","Out_Inpatient_numdays","Out_Inpatient_inf","Out_Inpatient_Coin","In_Primary_Min","In_Primary_Max","Out_Primary_Min","Out_Primary_Max","Out_Primary_Coin","In_Specialist_Min","In_Specialist_Max","Out_Specialist_Min","Out_Specialist_Max","Out_Specialist_Coin","Emergency_Care","Urgent_Care_Min","Urgent_Care_Max","In_Ambulance","In_Ambulance_Coin","Out_Ambulance_Min","Out_Ambulance_Max","Out_Ambulance_Coin","In_Vision_Exam","Out_Vision_Exam","Out_Vision_Exam_Coin","In_Hearing_Exam","Out_Hearing_Exam_Min","Out_Hearing_Exam_Max","Out_Hearing_Exam_Coin","Tier1","Tier2","Tier3","Tier4","Tier4_Coin","Tier5_Coin","OTC_Yearly","X..of.preventive.Dental.Coverage","X..of.comprehensive.Dental.Coverage","X14c1_Health_Education","X14c10_In.Home_Safety_Assessment","X14c11_Personal_Emergency_Response_System","X14c12_Medical_Nutrition_Therapy","X14c13_In.Home_Medication_Reconciliation","X14c14_Re.admission_Prevention","X14c15_Wigs_for_Hair_Loss","X14c16_Weight_Management_Programs","X14c17_Alternative_Therapies","X14c2_Nutritional.Dietary_Benefit","X14c3_Smoking_Tobacco_Counseling","X14c4_Fitness_Benefit","X14c5_Enhanced_Disease_Management","X14c6_Telemonitoring_Services","X14c7_Remote_Access_Technologies","X14c8_Bathroom_Safety_Devices","X14c9_Counseling_Services","X14c18_Therapeutic_Massage","X14c19_Adult_Day_Health_Services","X14c20_Home.Based_Palliative_Care","X14c21_In.Home_Support_Services","X14c22_Support_for_Caregivers_of_Enrollees","Star_Rating_NA","Annual_Deductible_NA","Out_MOOP_NA","Out_HP_Deductible_NA","In_Inpatient_numdays_NA","Out_Inpatient_NA","Out_Inpatient_numdays_NA","Out_Inpatient_Coin_NA","Out_Primary_Min_NA","Out_Primary_Max_NA","Out_Primary_Coin_NA","Out_Specialist_Min_NA","Out_Specialist_Max_NA","Out_Specialist_Coin_NA","In_Ambulance_Coin_NA","Out_Ambulance_Min_NA","Out_Ambulance_Max_NA","Out_Ambulance_Coin_NA","In_Vision_Exam_NA","Out_Vision_Exam_NA","Out_Vision_Exam_Coin_NA","Out_Hearing_Exam_Min_NA","Out_Hearing_Exam_Max_NA","Out_Hearing_Exam_Coin_NA","Tier1_NA","Tier2_NA","Tier3_NA","Tier4_NA","Tier4_Coin_NA","Tier5_Coin_NA","OTC_Yearly_NA","X14c18_Therapeutic_Massage_NA","X14c19_Adult_Day_Health_Services_NA","X14c20_Home.Based_Palliative_Care_NA","X14c21_In.Home_Support_Services_NA","X14c22_Support_for_Caregivers_of_Enrollees_NA"
"H0712-21-0",2019,"H0712",21,0,3.5,40,0,1,6700,NA,0,0,450,4,0,450,4,0,NA,0,0,0,0,NA,35,35,35,35,NA,90,25,25,150,NA,150,150,NA,0,0,NA,35,35,35,NA,0,17,47,NA,0.48,0.33,276,4,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1
"H0755-30-0",2019,"H0755",30,0,3,96,100,1,4200,NA,0,NA,345,5,1,345,5,1,NA,5,5,5,5,NA,30,30,30,30,NA,90,25,35,225,NA,225,225,NA,20,20,NA,5,5,5,NA,3,12,45,95,NA,0.31,240,4,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
"H0755-30-0",2020,"H0755",30,0,4,99,100,1,4700,NA,0,0,345,5,1,345,5,1,NA,5,5,5,5,NA,30,30,30,30,NA,90,25,35,240,NA,240,240,NA,0,0,NA,0,0,0,NA,3,12,47,100,NA,0.31,240,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"H0755-30-0",2021,"H0755",30,0,4,94,100,1,4700,NA,0,0,345,5,1,345,5,1,NA,5,5,5,5,NA,30,30,30,30,NA,90,25,35,250,NA,250,250,NA,0,0,NA,0,0,0,NA,3,12,47,100,NA,0.31,240,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"H0755-30-0",2022,"H0755",30,0,4,91,0,1,4700,NA,0,0,345,5,1,345,5,1,NA,0,0,0,0,NA,30,30,30,30,NA,90,40,40,270,NA,270,270,NA,0,0,NA,0,0,0,NA,0,12,47,100,NA,0.33,240,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"H0755-31-0",2019,"H0755",31,0,3,26,150,1,6000,NA,0,NA,395,4,1,395,4,1,NA,10,10,10,10,NA,40,40,40,40,NA,90,25,35,250,NA,250,250,NA,20,20,NA,10,10,10,NA,3,12,45,95,NA,0.31,200,4,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
"H0755-31-0",2020,"H0755",31,0,4,29,150,1,6000,NA,0,0,395,4,1,395,4,1,NA,10,10,10,10,NA,40,40,40,40,NA,90,25,35,260,NA,260,260,NA,0,0,NA,0,0,0,NA,3,12,47,100,NA,0.3,200,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"H0755-31-0",2021,"H0755",31,0,4,29,150,1,6000,NA,0,0,395,4,1,395,4,1,NA,10,10,10,10,NA,40,40,40,40,NA,90,25,35,250,NA,250,250,NA,0,0,NA,0,0,0,NA,3,12,47,100,NA,0.3,200,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"H0755-31-0",2022,"H0755",31,0,4,29,150,1,6000,NA,0,0,395,4,1,395,4,1,NA,10,10,10,10,NA,40,40,40,40,NA,90,40,40,270,NA,270,270,NA,0,0,NA,0,0,0,NA,0,12,47,100,NA,0.3,200,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"H0755-32-0",2019,"H0755",32,0,3,0,NA,0,6000,NA,0,NA,395,4,1,395,4,1,NA,5,5,5,5,NA,35,35,35,35,NA,90,25,35,250,NA,250,250,NA,20,20,NA,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"H0755-32-0",2020,"H0755",32,0,4,0,NA,0,6000,NA,0,0,395,4,1,395,4,1,NA,5,5,5,5,NA,35,35,35,35,NA,90,25,35,250,NA,250,250,NA,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
"H0755-32-0",2021,"H0755",32,0,4,0,NA,0,6000,NA,0,0,395,4,1,395,4,1,NA,5,5,5,5,NA,35,35,35,35,NA,90,25,35,250,NA,250,250,NA,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,200,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
"H0755-32-0",2022,"H0755",32,0,4,0,NA,0,6000,NA,0,0,395,4,1,395,4,1,NA,0,0,0,0,NA,35,35,35,35,NA,90,40,40,250,NA,250,250,NA,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,200,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
"H0755-33-0",2019,"H0755",33,0,3,0,175,1,6700,NA,0,0,430,4,1,430,4,1,NA,15,15,15,15,NA,45,45,45,45,NA,90,25,35,240,NA,240,240,NA,20,20,NA,15,15,15,NA,3,12,45,95,NA,0.31,160,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
"H0755-33-0",2020,"H0755",33,0,4,0,175,1,6700,NA,0,0,450,4,1,450,4,1,NA,15,15,15,15,NA,45,45,45,45,NA,90,25,35,240,NA,240,240,NA,0,0,NA,0,0,0,NA,3,12,47,100,NA,0.29,160,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"H0755-33-0",2021,"H0755",33,0,4,0,175,1,6700,NA,0,0,450,4,1,450,4,1,NA,15,15,15,15,NA,45,45,45,45,NA,90,25,35,250,NA,250,250,NA,0,0,NA,0,0,0,NA,3,12,47,100,NA,0.3,160,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"H0755-33-0",2022,"H0755",33,0,4,0,175,1,6700,NA,0,0,450,4,1,450,4,1,NA,15,15,15,15,NA,45,45,45,45,NA,90,40,40,265,NA,265,265,NA,0,0,NA,0,0,0,NA,3,12,47,100,NA,0.3,160,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"H1914-1-0",2020,"H1914",1,0,NA,0,0,1,5000,5000,0,0,325,5,0,NA,90,0,0.3,0,0,20,20,NA,40,40,50,50,NA,90,40,40,250,NA,250,250,NA,0,NA,0.3,40,50,50,NA,0,15,47,NA,0.45,0.33,240,4,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"H1914-1-0",2021,"H1914",1,0,NA,0,100,1,5000,5000,0,0,325,5,0,NA,90,0,0.3,0,0,20,20,NA,40,40,50,50,NA,90,40,40,250,NA,250,250,NA,0,NA,0.4,40,50,50,NA,0,8,47,NA,0.45,0.31,204,4,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"H1914-1-0",2022,"H1914",1,0,3,0,200,1,5500,5500,0,0,450,4,0,NA,90,0,0.2,0,0,20,20,NA,40,40,50,50,NA,90,40,40,250,NA,250,250,NA,0,NA,0.4,40,50,50,NA,0,1,37,NA,0.45,0.29,180,4,7,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"H1914-2-0",2021,"H1914",2,0,NA,0,0,1,6500,10000,250,250,290,6,0,NA,90,0,0.2,0,0,50,50,NA,40,40,50,50,NA,90,40,40,220,NA,220,220,NA,0,NA,0.4,40,50,50,NA,0,15,47,NA,0.45,0.33,160,4,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"H1914-2-0",2022,"H1914",2,0,3,0,395,1,7550,7550,225,225,465,4,0,NA,90,0,0.2,0,0,50,50,NA,40,40,50,50,NA,90,40,40,265,NA,265,265,NA,0,NA,0.4,40,50,50,NA,0,10,37,NA,0.48,0.26,140,4,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"H1914-3-0",2021,"H1914",3,0,NA,0,0,1,6700,10000,0,0,450,4,0,NA,NA,1,0.2,0,0,0,0,NA,50,50,50,50,NA,90,25,25,280,NA,280,280,NA,NA,NA,NA,50,50,50,NA,0,10,35,NA,0.48,0.33,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"H1914-4-0",2022,"H1914",4,0,3,27.2,480,1,6700,6700,0,0,525,3,0,NA,90,0,0.2,0,0,0,0,NA,40,40,250,250,NA,90,40,40,250,NA,0,250,NA,0,NA,0.4,40,0,250,NA,0,17,43,NA,0.43,0.25,400,4,7,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"H2752-1-0",2022,"H2752",1,0,NA,0,0,1,6500,NA,0,0,475,4,0,475,4,0,NA,0,0,0,0,NA,40,40,0,40,NA,90,25,25,260,NA,260,260,NA,0,0,NA,25,25,25,NA,0,4,42,95,NA,0.33,180,4,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"H2836-5-0",2021,"H2836",5,0,NA,25,95,1,7550,11300,1000,1000,325,6,0,NA,NA,1,0.4,5,5,35,35,NA,45,45,60,60,NA,90,30,30,295,NA,295,295,NA,0,0,NA,45,60,60,NA,4,13,42,95,NA,0.31,140,3,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"H2836-5-0",2022,"H2836",5,0,NA,0,95,1,7550,7550,750,750,325,6,0,NA,NA,1,0.4,5,5,35,35,NA,45,45,60,60,NA,90,30,30,295,NA,295,295,NA,0,0,NA,45,60,60,NA,4,13,42,95,NA,0.31,140,3,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"H3442-1-0",2020,"H3442",1,0,NA,0,0,1,6700,6700,1000,1000,750,90,1,NA,NA,1,0.3,0,0,20,20,NA,40,40,50,50,NA,90,30,40,260,NA,260,260,NA,0,50,NA,0,50,50,NA,0,0,47,100,NA,0.33,200,4,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"H3442-1-0",2021,"H3442",1,0,NA,0,0,1,6700,10000,1000,1000,750,90,1,NA,NA,1,0.3,0,0,20,20,NA,35,35,55,55,NA,90,30,40,250,NA,250,250,NA,0,55,NA,0,55,55,NA,0,0,47,100,NA,0.33,200,4,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"H3442-1-0",2022,"H3442",1,0,3.5,0,0,1,6700,6700,1,1,750,90,1,NA,NA,1,0.3,0,0,20,20,NA,45,45,65,65,NA,90,40,40,270,NA,270,270,NA,0,65,NA,0,65,65,NA,0,0,47,100,NA,0.33,200,4,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"H3528-10-0",2019,"H3528",10,0,4,0,0,1,6700,6700,0,0,465,4,0,465,4,0,NA,0,0,0,0,NA,45,45,45,45,NA,90,50,50,325,NA,325,325,NA,45,45,NA,45,45,45,NA,2,10,42,95,NA,0.33,NA,3,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1
"H3528-10-0",2020,"H3528",10,0,4.5,0,275,1,6700,NA,0,0,490,4,0,490,4,0,NA,0,20,0,20,NA,50,50,50,50,NA,90,50,50,325,NA,325,325,NA,45,45,NA,50,50,50,NA,2,10,42,95,NA,0.28,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
"H3528-10-0",2021,"H3528",10,0,4,0,275,1,7550,NA,0,0,490,4,0,490,4,0,NA,25,25,25,25,NA,50,50,50,50,NA,90,50,50,415,NA,415,415,NA,45,45,NA,50,50,50,NA,2,10,42,95,NA,0.28,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
