"","Contract.Number","Plan.ID","SSA.State.County.Code","FIPS.State.County.Code","State","County","Enrollment","Year"
"101","H2001",823,7040,9009,"CT","New Haven",11,"2019"
"102","H2001",827,7040,9009,"CT","New Haven",12,"2019"
"103","H2001",836,7010,9003,"CT","Hartford",18,"2019"
"104","H2001",836,7040,9009,"CT","New Haven",13,"2019"
"105","H2001",838,7000,9001,"CT","Fairfield",3626,"2019"
"106","H2001",838,7010,9003,"CT","Hartford",13518,"2019"
"107","H2001",838,7020,9005,"CT","Litchfield",2389,"2019"
"108","H2001",838,7030,9007,"CT","Middlesex",3241,"2019"
"109","H2001",838,7040,9009,"CT","New Haven",7545,"2019"
"110","H2001",838,7050,9011,"CT","New London",4007,"2019"
"111","H2001",838,7060,9013,"CT","Tolland",3498,"2019"
"112","H2001",838,7070,9015,"CT","Windham",2526,"2019"
"113","H2001",840,7000,9001,"CT","Fairfield",103,"2019"
"114","H2001",840,7010,9003,"CT","Hartford",44,"2019"
"115","H2001",840,7040,9009,"CT","New Haven",18,"2019"
"116","H3276",1,7000,9001,"CT","Fairfield",13,"2019"
"117","H3276",1,7010,9003,"CT","Hartford",96,"2019"
"118","H3276",1,7040,9009,"CT","New Haven",62,"2019"
"119","H3276",1,7050,9011,"CT","New London",12,"2019"
"120","H3528",3,7000,9001,"CT","Fairfield",169,"2019"
"121","H3528",3,7010,9003,"CT","Hartford",324,"2019"
"122","H3528",3,7020,9005,"CT","Litchfield",80,"2019"
"123","H3528",3,7030,9007,"CT","Middlesex",193,"2019"
"124","H3528",3,7040,9009,"CT","New Haven",396,"2019"
"125","H3528",3,7050,9011,"CT","New London",122,"2019"
"126","H3528",3,7060,9013,"CT","Tolland",76,"2019"
"127","H3528",3,7070,9015,"CT","Windham",61,"2019"
"128","H3528",6,7000,9001,"CT","Fairfield",160,"2019"
"129","H3528",6,7010,9003,"CT","Hartford",106,"2019"
"130","H3528",6,7020,9005,"CT","Litchfield",31,"2019"
"131","H3528",6,7030,9007,"CT","Middlesex",29,"2019"
"132","H3528",6,7040,9009,"CT","New Haven",75,"2019"
"133","H3528",6,7050,9011,"CT","New London",31,"2019"
"134","H3528",6,7060,9013,"CT","Tolland",27,"2019"
"135","H3528",10,7000,9001,"CT","Fairfield",1424,"2019"
"136","H3528",10,7010,9003,"CT","Hartford",8201,"2019"
"137","H3528",10,7020,9005,"CT","Litchfield",1513,"2019"
"138","H3528",10,7030,9007,"CT","Middlesex",2982,"2019"
"139","H3528",10,7040,9009,"CT","New Haven",4238,"2019"
"140","H3528",10,7050,9011,"CT","New London",2173,"2019"
"141","H3528",10,7060,9013,"CT","Tolland",1766,"2019"
"142","H3528",10,7070,9015,"CT","Windham",834,"2019"
"143","H3528",11,7000,9001,"CT","Fairfield",2872,"2019"
"144","H3528",11,7010,9003,"CT","Hartford",4262,"2019"
"145","H3528",11,7020,9005,"CT","Litchfield",933,"2019"
