Contract.Number,Plan.ID,SSA.State.County.Code,FIPS.State.County.Code,State,County,Enrollment,Year
H0137,1,7030,9007,CT,Middlesex,*,2020
H0137,1,7040,9009,CT,New Haven,*,2020
H0271,14,7000,9001,CT,Fairfield,4141,2020
H0271,14,7010,9003,CT,Hartford,7763,2020
H0271,14,7020,9005,CT,Litchfield,939,2020
H0271,14,7030,9007,CT,Middlesex,978,2020
H0271,14,7040,9009,CT,New Haven,6811,2020
H0271,14,7050,9011,CT,New London,1654,2020
H0271,14,7060,9013,CT,Tolland,707,2020
H0271,14,7070,9015,CT,Windham,922,2020
H0302,1,7000,9001,CT,Fairfield,*,2020
H0336,1,7040,9009,CT,New Haven,*,2020
H0354,28,7050,9011,CT,New London,*,2020
H0504,803,7000,9001,CT,Fairfield,*,2020
H0504,803,7010,9003,CT,Hartford,*,2020
H0504,803,7020,9005,CT,Litchfield,*,2020
H0504,803,7030,9007,CT,Middlesex,*,2020
H0504,803,7040,9009,CT,New Haven,*,2020
H0504,803,7050,9011,CT,New London,*,2020
H0504,803,7060,9013,CT,Tolland,*,2020
H0504,803,7070,9015,CT,Windham,*,2020
H0504,804,7000,9001,CT,Fairfield,*,2020
H0504,804,7010,9003,CT,Hartford,*,2020
H0504,804,7020,9005,CT,Litchfield,*,2020
H0504,804,7030,9007,CT,Middlesex,*,2020
H0504,804,7040,9009,CT,New Haven,*,2020
H0504,804,7050,9011,CT,New London,*,2020
H0504,804,7060,9013,CT,Tolland,*,2020
H0504,804,7070,9015,CT,Windham,*,2020
H0504,805,7000,9001,CT,Fairfield,*,2020
H0504,805,7010,9003,CT,Hartford,*,2020
H0504,805,7020,9005,CT,Litchfield,*,2020
H0504,805,7030,9007,CT,Middlesex,*,2020
H0504,805,7040,9009,CT,New Haven,*,2020
H0504,805,7050,9011,CT,New London,*,2020
H0504,805,7060,9013,CT,Tolland,*,2020
H0504,805,7070,9015,CT,Windham,*,2020
H0523,801,7000,9001,CT,Fairfield,*,2020
H0523,801,7010,9003,CT,Hartford,*,2020
H0523,801,7020,9005,CT,Litchfield,*,2020
H0523,801,7030,9007,CT,Middlesex,*,2020
H0523,801,7040,9009,CT,New Haven,*,2020
H0523,801,7050,9011,CT,New London,*,2020
H0523,801,7060,9013,CT,Tolland,*,2020
H0523,801,7070,9015,CT,Windham,*,2020
H0523,805,7000,9001,CT,Fairfield,*,2020
H0523,805,7010,9003,CT,Hartford,*,2020
H0523,805,7020,9005,CT,Litchfield,*,2020
H0523,805,7030,9007,CT,Middlesex,*,2020
H0523,805,7040,9009,CT,New Haven,*,2020
H0523,805,7050,9011,CT,New London,*,2020
H0523,805,7060,9013,CT,Tolland,*,2020
H0523,805,7070,9015,CT,Windham,*,2020
H0523,807,7000,9001,CT,Fairfield,*,2020
H0523,807,7010,9003,CT,Hartford,*,2020
H0523,807,7020,9005,CT,Litchfield,*,2020
H0523,807,7030,9007,CT,Middlesex,*,2020
H0523,807,7040,9009,CT,New Haven,*,2020
H0523,807,7050,9011,CT,New London,*,2020
H0523,807,7060,9013,CT,Tolland,*,2020
H0523,807,7070,9015,CT,Windham,*,2020
H0524,3,7000,9001,CT,Fairfield,*,2020
H0524,3,7050,9011,CT,New London,*,2020
H0524,30,7040,9009,CT,New Haven,*,2020
H0524,36,7040,9009,CT,New Haven,*,2020
H0524,37,7010,9003,CT,Hartford,*,2020
H0524,39,7000,9001,CT,Fairfield,*,2020
H0524,51,7010,9003,CT,Hartford,*,2020
H0524,805,7000,9001,CT,Fairfield,*,2020
H0524,805,7050,9011,CT,New London,*,2020
H0524,805,7060,9013,CT,Tolland,*,2020
H0524,806,7010,9003,CT,Hartford,*,2020
H0543,166,7010,9003,CT,Hartford,*,2020
H0544,5,7000,9001,CT,Fairfield,*,2020
H0544,5,7010,9003,CT,Hartford,*,2020
H0544,67,7040,9009,CT,New Haven,*,2020
H0628,801,7000,9001,CT,Fairfield,*,2020
H0628,801,7010,9003,CT,Hartford,*,2020
H0628,801,7020,9005,CT,Litchfield,*,2020
H0628,801,7030,9007,CT,Middlesex,*,2020
H0628,801,7040,9009,CT,New Haven,*,2020
H0628,801,7050,9011,CT,New London,*,2020
H0628,801,7060,9013,CT,Tolland,*,2020
H0628,801,7070,9015,CT,Windham,*,2020
H0628,802,7000,9001,CT,Fairfield,*,2020
H0628,802,7010,9003,CT,Hartford,*,2020
H0628,802,7020,9005,CT,Litchfield,*,2020
H0628,802,7030,9007,CT,Middlesex,*,2020
H0628,802,7040,9009,CT,New Haven,*,2020
H0628,802,7050,9011,CT,New London,*,2020
H0628,802,7060,9013,CT,Tolland,*,2020
H0628,802,7070,9015,CT,Windham,*,2020
H0628,803,7000,9001,CT,Fairfield,*,2020
H0628,803,7010,9003,CT,Hartford,*,2020
H0628,803,7020,9005,CT,Litchfield,*,2020
H0628,803,7030,9007,CT,Middlesex,*,2020
H0628,803,7040,9009,CT,New Haven,*,2020
H0628,803,7050,9011,CT,New London,*,2020
H0628,803,7060,9013,CT,Tolland,*,2020
H0628,803,7070,9015,CT,Windham,*,2020
H0630,13,7010,9003,CT,Hartford,*,2020
H0710,9,7000,9001,CT,Fairfield,*,2020
H0710,9,7010,9003,CT,Hartford,*,2020
H0710,9,7040,9009,CT,New Haven,*,2020
H0710,26,7000,9001,CT,Fairfield,634,2020
H0710,26,7010,9003,CT,Hartford,1217,2020
H0710,26,7020,9005,CT,Litchfield,205,2020
H0710,26,7030,9007,CT,Middlesex,221,2020
H0710,26,7040,9009,CT,New Haven,487,2020
H0710,26,7050,9011,CT,New London,138,2020
H0710,26,7060,9013,CT,Tolland,102,2020
H0710,26,7070,9015,CT,Windham,118,2020
H0710,801,7000,9001,CT,Fairfield,*,2020
H0710,801,7010,9003,CT,Hartford,*,2020
H0710,801,7020,9005,CT,Litchfield,*,2020
H0710,801,7030,9007,CT,Middlesex,*,2020
H0710,801,7040,9009,CT,New Haven,*,2020
H0710,801,7050,9011,CT,New London,*,2020
H0710,801,7060,9013,CT,Tolland,*,2020
H0710,801,7070,9015,CT,Windham,*,2020
H0710,802,7000,9001,CT,Fairfield,*,2020
H0710,802,7010,9003,CT,Hartford,*,2020
H0710,802,7020,9005,CT,Litchfield,*,2020
H0710,802,7030,9007,CT,Middlesex,*,2020
H0710,802,7040,9009,CT,New Haven,*,2020
H0710,802,7050,9011,CT,New London,*,2020
H0710,802,7060,9013,CT,Tolland,*,2020
H0710,802,7070,9015,CT,Windham,*,2020
H0710,803,7000,9001,CT,Fairfield,*,2020
H0710,803,7010,9003,CT,Hartford,*,2020
H0710,803,7020,9005,CT,Litchfield,*,2020
H0710,803,7030,9007,CT,Middlesex,*,2020
H0710,803,7040,9009,CT,New Haven,*,2020
H0710,803,7050,9011,CT,New London,*,2020
H0710,803,7060,9013,CT,Tolland,*,2020
H0710,803,7070,9015,CT,Windham,*,2020
H0710,804,7000,9001,CT,Fairfield,*,2020
H0710,804,7010,9003,CT,Hartford,*,2020
H0710,804,7020,9005,CT,Litchfield,*,2020
H0710,804,7030,9007,CT,Middlesex,*,2020
H0710,804,7040,9009,CT,New Haven,*,2020
H0710,804,7050,9011,CT,New London,*,2020
H0710,804,7060,9013,CT,Tolland,*,2020
H0710,804,7070,9015,CT,Windham,*,2020
H0710,805,7000,9001,CT,Fairfield,*,2020
H0710,805,7010,9003,CT,Hartford,*,2020
H0710,805,7020,9005,CT,Litchfield,*,2020
H0710,805,7030,9007,CT,Middlesex,*,2020
H0710,805,7040,9009,CT,New Haven,*,2020
H0710,805,7050,9011,CT,New London,*,2020
H0710,805,7060,9013,CT,Tolland,*,2020
H0710,805,7070,9015,CT,Windham,*,2020
H0710,806,7000,9001,CT,Fairfield,*,2020
H0710,806,7010,9003,CT,Hartford,*,2020
H0710,806,7020,9005,CT,Litchfield,*,2020
H0710,806,7030,9007,CT,Middlesex,*,2020
H0710,806,7040,9009,CT,New Haven,*,2020
H0710,806,7050,9011,CT,New London,*,2020
H0710,806,7060,9013,CT,Tolland,*,2020
H0710,806,7070,9015,CT,Windham,*,2020
H0710,807,7000,9001,CT,Fairfield,*,2020
H0710,807,7010,9003,CT,Hartford,*,2020
H0710,807,7020,9005,CT,Litchfield,*,2020
H0710,807,7030,9007,CT,Middlesex,*,2020
H0710,807,7040,9009,CT,New Haven,*,2020
H0710,807,7050,9011,CT,New London,*,2020
H0710,807,7060,9013,CT,Tolland,*,2020
H0710,807,7070,9015,CT,Windham,*,2020
H0710,808,7000,9001,CT,Fairfield,*,2020
H0710,808,7010,9003,CT,Hartford,*,2020
H0710,808,7020,9005,CT,Litchfield,*,2020
H0710,808,7030,9007,CT,Middlesex,*,2020
H0710,808,7040,9009,CT,New Haven,*,2020
H0710,808,7050,9011,CT,New London,*,2020
H0710,808,7060,9013,CT,Tolland,*,2020
H0710,808,7070,9015,CT,Windham,*,2020
H0710,809,7000,9001,CT,Fairfield,*,2020
H0710,809,7010,9003,CT,Hartford,*,2020
H0710,809,7020,9005,CT,Litchfield,*,2020
H0710,809,7030,9007,CT,Middlesex,*,2020
H0710,809,7040,9009,CT,New Haven,*,2020
H0710,809,7050,9011,CT,New London,*,2020
H0710,809,7060,9013,CT,Tolland,*,2020
H0710,809,7070,9015,CT,Windham,*,2020
H0710,810,7000,9001,CT,Fairfield,*,2020
H0710,810,7010,9003,CT,Hartford,*,2020
H0710,810,7020,9005,CT,Litchfield,*,2020
H0710,810,7030,9007,CT,Middlesex,*,2020
H0710,810,7040,9009,CT,New Haven,*,2020
H0710,810,7050,9011,CT,New London,*,2020
H0710,810,7060,9013,CT,Tolland,*,2020
H0710,810,7070,9015,CT,Windham,*,2020
H0710,811,7000,9001,CT,Fairfield,*,2020
H0710,811,7010,9003,CT,Hartford,*,2020
H0710,811,7020,9005,CT,Litchfield,*,2020
H0710,811,7030,9007,CT,Middlesex,*,2020
H0710,811,7040,9009,CT,New Haven,*,2020
H0710,811,7050,9011,CT,New London,*,2020
H0710,811,7060,9013,CT,Tolland,*,2020
H0710,811,7070,9015,CT,Windham,*,2020
H0710,812,7000,9001,CT,Fairfield,*,2020
H0710,812,7010,9003,CT,Hartford,*,2020
H0710,812,7020,9005,CT,Litchfield,*,2020
H0710,812,7030,9007,CT,Middlesex,*,2020
H0710,812,7040,9009,CT,New Haven,*,2020
H0710,812,7050,9011,CT,New London,*,2020
H0710,812,7060,9013,CT,Tolland,*,2020
H0710,812,7070,9015,CT,Windham,*,2020
H0710,813,7000,9001,CT,Fairfield,*,2020
H0710,813,7010,9003,CT,Hartford,*,2020
H0710,813,7020,9005,CT,Litchfield,*,2020
H0710,813,7030,9007,CT,Middlesex,*,2020
H0710,813,7040,9009,CT,New Haven,*,2020
H0710,813,7050,9011,CT,New London,*,2020
H0710,813,7060,9013,CT,Tolland,*,2020
H0710,813,7070,9015,CT,Windham,*,2020
H0710,814,7000,9001,CT,Fairfield,*,2020
H0710,814,7010,9003,CT,Hartford,*,2020
H0710,814,7020,9005,CT,Litchfield,*,2020
H0710,814,7030,9007,CT,Middlesex,*,2020
H0710,814,7040,9009,CT,New Haven,*,2020
H0710,814,7050,9011,CT,New London,*,2020
H0710,814,7060,9013,CT,Tolland,*,2020
H0710,814,7070,9015,CT,Windham,*,2020
H0710,815,7000,9001,CT,Fairfield,*,2020
H0710,815,7010,9003,CT,Hartford,*,2020
H0710,815,7020,9005,CT,Litchfield,*,2020
H0710,815,7030,9007,CT,Middlesex,*,2020
H0710,815,7040,9009,CT,New Haven,*,2020
H0710,815,7050,9011,CT,New London,*,2020
H0710,815,7060,9013,CT,Tolland,*,2020
H0710,815,7070,9015,CT,Windham,*,2020
H0710,816,7000,9001,CT,Fairfield,*,2020
H0710,816,7010,9003,CT,Hartford,*,2020
H0710,816,7020,9005,CT,Litchfield,*,2020
H0710,816,7030,9007,CT,Middlesex,*,2020
H0710,816,7040,9009,CT,New Haven,*,2020
H0710,816,7050,9011,CT,New London,*,2020
H0710,816,7060,9013,CT,Tolland,*,2020
H0710,816,7070,9015,CT,Windham,*,2020
H0710,817,7000,9001,CT,Fairfield,*,2020
H0710,817,7010,9003,CT,Hartford,*,2020
H0710,817,7020,9005,CT,Litchfield,*,2020
H0710,817,7030,9007,CT,Middlesex,*,2020
H0710,817,7040,9009,CT,New Haven,*,2020
H0710,817,7050,9011,CT,New London,*,2020
H0710,817,7060,9013,CT,Tolland,*,2020
H0710,817,7070,9015,CT,Windham,*,2020
H0710,818,7000,9001,CT,Fairfield,*,2020
H0710,818,7010,9003,CT,Hartford,*,2020
H0710,818,7020,9005,CT,Litchfield,*,2020
H0710,818,7030,9007,CT,Middlesex,*,2020
H0710,818,7040,9009,CT,New Haven,*,2020
H0710,818,7050,9011,CT,New London,*,2020
H0710,818,7060,9013,CT,Tolland,*,2020
H0710,818,7070,9015,CT,Windham,*,2020
H0710,821,7000,9001,CT,Fairfield,*,2020
H0710,821,7010,9003,CT,Hartford,*,2020
H0710,821,7020,9005,CT,Litchfield,*,2020
H0710,821,7030,9007,CT,Middlesex,*,2020
H0710,821,7040,9009,CT,New Haven,*,2020
H0710,821,7050,9011,CT,New London,*,2020
H0710,821,7060,9013,CT,Tolland,*,2020
H0710,821,7070,9015,CT,Windham,*,2020
H0710,822,7000,9001,CT,Fairfield,*,2020
H0710,822,7010,9003,CT,Hartford,*,2020
H0710,822,7020,9005,CT,Litchfield,*,2020
H0710,822,7030,9007,CT,Middlesex,*,2020
H0710,822,7040,9009,CT,New Haven,*,2020
H0710,822,7050,9011,CT,New London,*,2020
H0710,822,7060,9013,CT,Tolland,*,2020
H0710,822,7070,9015,CT,Windham,*,2020
H0710,823,7000,9001,CT,Fairfield,*,2020
H0710,823,7010,9003,CT,Hartford,*,2020
H0710,823,7020,9005,CT,Litchfield,*,2020
H0710,823,7030,9007,CT,Middlesex,*,2020
H0710,823,7040,9009,CT,New Haven,*,2020
H0710,823,7050,9011,CT,New London,*,2020
H0710,823,7060,9013,CT,Tolland,*,2020
H0710,823,7070,9015,CT,Windham,*,2020
H0710,824,7000,9001,CT,Fairfield,*,2020
H0710,824,7010,9003,CT,Hartford,*,2020
H0710,824,7020,9005,CT,Litchfield,*,2020
H0710,824,7030,9007,CT,Middlesex,*,2020
H0710,824,7040,9009,CT,New Haven,*,2020
H0710,824,7050,9011,CT,New London,*,2020
H0710,824,7060,9013,CT,Tolland,*,2020
H0710,824,7070,9015,CT,Windham,*,2020
H0710,825,7000,9001,CT,Fairfield,*,2020
H0710,825,7010,9003,CT,Hartford,*,2020
H0710,825,7020,9005,CT,Litchfield,*,2020
H0710,825,7030,9007,CT,Middlesex,*,2020
H0710,825,7040,9009,CT,New Haven,*,2020
H0710,825,7050,9011,CT,New London,*,2020
H0710,825,7060,9013,CT,Tolland,*,2020
H0710,825,7070,9015,CT,Windham,*,2020
H0710,826,7000,9001,CT,Fairfield,*,2020
H0710,826,7010,9003,CT,Hartford,*,2020
H0710,826,7020,9005,CT,Litchfield,*,2020
H0710,826,7030,9007,CT,Middlesex,*,2020
H0710,826,7040,9009,CT,New Haven,*,2020
H0710,826,7050,9011,CT,New London,*,2020
H0710,826,7060,9013,CT,Tolland,*,2020
H0710,826,7070,9015,CT,Windham,*,2020
H0710,827,7000,9001,CT,Fairfield,*,2020
H0710,827,7010,9003,CT,Hartford,*,2020
H0710,827,7020,9005,CT,Litchfield,*,2020
H0710,827,7030,9007,CT,Middlesex,*,2020
H0710,827,7040,9009,CT,New Haven,*,2020
H0710,827,7050,9011,CT,New London,*,2020
H0710,827,7060,9013,CT,Tolland,*,2020
H0710,827,7070,9015,CT,Windham,*,2020
H0710,829,7000,9001,CT,Fairfield,*,2020
H0710,829,7010,9003,CT,Hartford,*,2020
