"Contract.Number","Plan.ID","SSA.State.County.Code","FIPS.State.County.Code","State","County","Enrollment","Year"
"H1914",4,7010,9003,"CT","Hartford","71",2022
"H1914",4,7020,9005,"CT","Litchfield","20",2022
"H1914",4,7030,9007,"CT","Middlesex","15",2022
"H1914",4,7040,9009,"CT","New Haven","97",2022
"H1914",4,7050,9011,"CT","New London","28",2022
"H1914",4,7060,9013,"CT","Tolland","17",2022
"H1914",4,7070,9015,"CT","Windham","18",2022
"H2001",816,7000,9001,"CT","Fairfield","345",2022
"H2001",816,7010,9003,"CT","Hartford","572",2022
"H2001",816,7020,9005,"CT","Litchfield","141",2022
"H2001",816,7030,9007,"CT","Middlesex","70",2022
"H2001",816,7040,9009,"CT","New Haven","448",2022
"H2001",816,7050,9011,"CT","New London","96",2022
"H2001",816,7060,9013,"CT","Tolland","82",2022
"H2001",816,7070,9015,"CT","Windham","59",2022
"H2001",817,7000,9001,"CT","Fairfield","1352",2022
"H2001",817,7010,9003,"CT","Hartford","656",2022
"H2001",817,7020,9005,"CT","Litchfield","157",2022
"H2001",817,7030,9007,"CT","Middlesex","244",2022
"H2001",817,7040,9009,"CT","New Haven","789",2022
"H2001",817,7050,9011,"CT","New London","1200",2022
"H2001",817,7060,9013,"CT","Tolland","74",2022
"H2001",817,7070,9015,"CT","Windham","79",2022
"H2001",823,7000,9001,"CT","Fairfield","20",2022
"H2001",823,7040,9009,"CT","New Haven","11",2022
"H2001",836,7010,9003,"CT","Hartford","17",2022
"H2001",837,7000,9001,"CT","Fairfield","322",2022
"H2001",837,7010,9003,"CT","Hartford","388",2022
"H2001",837,7020,9005,"CT","Litchfield","127",2022
"H2001",837,7030,9007,"CT","Middlesex","167",2022
"H2001",837,7040,9009,"CT","New Haven","744",2022
"H2001",837,7050,9011,"CT","New London","155",2022
"H2001",837,7060,9013,"CT","Tolland","65",2022
"H2001",837,7070,9015,"CT","Windham","44",2022
"H2001",838,7000,9001,"CT","Fairfield","2878",2022
"H2001",838,7010,9003,"CT","Hartford","12060",2022
"H2001",838,7020,9005,"CT","Litchfield","2273",2022
"H2001",838,7030,9007,"CT","Middlesex","3116",2022
"H2001",838,7040,9009,"CT","New Haven","6985",2022
"H2001",838,7050,9011,"CT","New London","3807",2022
"H2001",838,7060,9013,"CT","Tolland","3272",2022
"H2001",838,7070,9015,"CT","Windham","2361",2022
"H2001",840,7000,9001,"CT","Fairfield","112",2022
"H2001",840,7010,9003,"CT","Hartford","44",2022
"H2001",840,7040,9009,"CT","New Haven","17",2022
"H2001",847,7000,9001,"CT","Fairfield","5436",2022
"H2001",847,7010,9003,"CT","Hartford","8343",2022
"H2001",847,7020,9005,"CT","Litchfield","1920",2022
"H2001",847,7030,9007,"CT","Middlesex","2162",2022
"H2001",847,7040,9009,"CT","New Haven","6050",2022
"H2001",847,7050,9011,"CT","New London","2398",2022
"H2001",847,7060,9013,"CT","Tolland","1666",2022
"H2001",847,7070,9015,"CT","Windham","924",2022
"H2001",857,7000,9001,"CT","Fairfield","16",2022
"H2001",857,7010,9003,"CT","Hartford","18",2022
"H2001",857,7030,9007,"CT","Middlesex","12",2022
"H2001",857,7040,9009,"CT","New Haven","20",2022
"H2752",1,7040,9009,"CT","New Haven","42",2022
"H2752",2,7040,9009,"CT","New Haven","68",2022
"H2836",5,7000,9001,"CT","Fairfield","1328",2022
"H2836",5,7010,9003,"CT","Hartford","1771",2022
"H2836",5,7020,9005,"CT","Litchfield","394",2022
"H2836",5,7030,9007,"CT","Middlesex","428",2022
"H2836",5,7040,9009,"CT","New Haven","1960",2022
"H2836",5,7050,9011,"CT","New London","685",2022
"H2836",5,7060,9013,"CT","Tolland","260",2022
"H2836",5,7070,9015,"CT","Windham","261",2022
"H2836",6,7000,9001,"CT","Fairfield","717",2022
"H2836",6,7010,9003,"CT","Hartford","987",2022
"H2836",6,7020,9005,"CT","Litchfield","173",2022
"H2836",6,7030,9007,"CT","Middlesex","183",2022
"H2836",6,7040,9009,"CT","New Haven","1151",2022
"H2836",6,7050,9011,"CT","New London","340",2022
"H2836",6,7060,9013,"CT","Tolland","92",2022
"H2836",6,7070,9015,"CT","Windham","176",2022
"H3276",1,7000,9001,"CT","Fairfield","362",2022
"H3276",1,7010,9003,"CT","Hartford","756",2022
"H3276",1,7020,9005,"CT","Litchfield","36",2022
"H3276",1,7030,9007,"CT","Middlesex","31",2022
"H3276",1,7040,9009,"CT","New Haven","513",2022
"H3276",1,7050,9011,"CT","New London","50",2022
"H3276",1,7060,9013,"CT","Tolland","24",2022
"H3276",1,7070,9015,"CT","Windham","28",2022
